Ator1,Ator2
FIEP,CNI
FACIAP,CACB
SINAEES,FIEP
SINDIMETAL,FIEP
G19,SINAEES
G19,SINDIMETAL
SINDIMETAL,AECIC
SINDIMETAL,ABIFA
FACIAP,CACIOPAR
CACIOPAR,ACIME
ACIME,FACIAP
SINDIAVIPAR,ABPA
SINDIAVIPAR,ABRA
SINDICARNE,ABRAFRIGO
SINCABIMA,FIEP
SINDIAVIPAR,FIEP
SINDIBEBIDAS,FIEP
SIITEP,FIEP
SINDICARNE,FIEP
SINDILEITE,FIEP
SINDIOLEOS,FIEP
SINDITRIGO,FIEP
SIPCEP,FIEP
SINDITRIGO,ABITRIGO
SICEPOT,FIEP
SICEPOT,CBIC
SINDUSCON,FIEP
SINDUSCON-Oeste,FIEP
SINDUSCON,CBIC
SINDICAF,FIEP
SINDIVEST,FIEP
SINDICOURO,FIEP
SINDIALFA,FIEP
SINDITEXTIL,FIEP
APEOP,CBIC
ADEMI,CBIC
ACIC,FACIAP
SIGEP,FIEP
SIGEP,ABIGRAF-PR
ABIGRAF-PR,ABIGRAF-BR
SIMADEIRA,FIEP
SIMOV,FIEP
SIMOV,ABIMOVEL
SINPACEL,FIEP
SINCAM,FECOMERCIO-PR
FIEP,SIMAGRAN
FIEP,SINDEMCAP
FIEP,SINDIADUBOS
FIEP,SINDICAL
FIEP,SINDICER
FIEP,SINDILOUCAS
SIMAGRAN,ABIROCHAS
SINDEMCAP,ABRACAL
SINDIADUBOS,ANDA
SINDICER,ABCERAM
SINDILOUCAS,ABCERAM
ACICLA,FACIAP
FECOMERCIO-PR,Sindiarmazens
SIMPEP,FIEP
SINDICOSMETICOS,FIEP
SINQFAR,FIEP
SINDBOR,FIEP
SINDIMETAL-Oeste,FIEP
FACIAP,ACIPG
ABIPLAST,SIMPEP
ABIQUIM,SINQFAR
ABIHPEC,SINDICOSMETICOS
SINDIMETAL-Oeste,G19
SIAPAR,FIEP
SINDEMON,FIEP
SINDIREPA,FIEP
SINELTEPAR,FIEP
SINDIPINTURAS,FIEP
Sincopecas,FECOMERCIO-PR
SIITEP,FEBRATEL
SINDIREPA,G19
SINAEES,ACP
SINAEES,FACIAP
SINDILEITE,Conseleite
SINDILEITE,Ocepar
SINDIBEBIDAS,Vinopar
SINDIBEBIDAS,ABIR
SINDIBEBIDAS,ABOL
SINCABIMA,ACIME
SINDICARNE,ACIME
SINCABIMA,CACIOPAR
SINDICARNE,CACIOPAR
SINCABIMA,ASLORE
SINDIAVIPAR,UBABEF
SINDIVEST,ACP
SINDIVEST,FACIAP
SINDIVEST,CACB
SICEPOT,ANEOR
SICEPOT,IEP
SICEPOT,BRASINFRA
SICEPOT,APEOP
SINDUSCON,ADEMI
SINDICAF,SINDUSCON-Oeste
SINDICAF,SINDUSCON
SINDICAF,ACIC
SIGEP,ABIGRAF-BR
SIGEP,ABIEA
SIMADEIRA,FECOMERCIO-PR
SIMADEIRA,SINCAM
SIMADEIRA,ACP
SIMADEIRA,ABIMCI
SIMOV,ACSC
SIMOV,ABIMAD
SINPACEL,ABRE
SINPACEL,ABTCP
SINDEMCAP,SINDICAL
SINDICAL,ABRACAL
SINDICAL,APDC
SINDEMCAP,APDC
SINDIADUBOS,SIACESP
SINDIADUBOS,AMA
SINDILOUCAS,APCHD
SINDILOUCAS,FECOMERCIO-PR
SINDILOUCAS,SINAEES
SINDILOUCAS,SINDIMETAL
SINDILOUCAS,Sindiarmazens
SINDILOUCAS,ACICLA
SINDILOUCAS,Itaqui Associacao
SIMPEP,ABIEF
SIMPEP,ACIC
SIMPEP,SINDIMETAL-Oeste
SINDICOSMETICOS,ACP
SINQFAR,ACIPG
SINDIREPA,Sincopecas
SIITEP,ACP
SIITEP,ABEPREST
SINDEMON,ABTCP
SINDEMON,AECIC
SINCABIMA,ABICAB
SINDICAF,ABCIC
SINDITEXTIL,Imbitumalhas
SINDICARNE,Ibrafe
SINDILEITE,OCB
SINDILEITE,Sincoopar-Norte
SINDILEITE,Sincoopar-Oeste
Sincoopar-Norte,Ocepar
Sincoopar-Oeste,Ocepar
SINDILEITE,G100
Ocepar,OCB
SIMADEIRA,ANPM
SINDIOLEOS,ABRANGE
